,symbol,secAcq,Promoter Buying,Current Price,Shareholding,Pledged,SAST Regulations,Financial Results,URL
0,MKPL,11520000,10.41,12.7,74.82,-,Yes,0.16,https://www.nseindia.com/get-quotes/equity?symbol=MKPL#info-corporate
1,SUNDARMHLD,7973529,190.8,260.35,54.97,-,No,8.08,https://www.nseindia.com/get-quotes/equity?symbol=SUNDARMHLD#info-corporate
2,JSWENERGY,4700000,508.45,594.85,73.67,10.77,Yes,2.09,https://www.nseindia.com/get-quotes/equity?symbol=JSWENERGY#info-corporate
3,CAMLINFINE,2300000,97.99,90.65,48.03,12.43,No,-2.65,https://www.nseindia.com/get-quotes/equity?symbol=CAMLINFINE#info-corporate
4,GOKULAGRO,1632200,106.85,145.75,73.62,13.81,Yes,2.32,https://www.nseindia.com/get-quotes/equity?symbol=GOKULAGRO#info-corporate
5,SNOWMAN,1350000,64.96,66.9,45.24,0,Yes,0.13,https://www.nseindia.com/get-quotes/equity?symbol=SNOWMAN#info-corporate
6,INDOWIND,1247109,20.91,21,50.76,0,Yes,0.06,https://www.nseindia.com/get-quotes/equity?symbol=INDOWIND#info-corporate
7,PAISALO,1125000,62.34,62.25,50.37,10.04,No,0.78,https://www.nseindia.com/get-quotes/equity?symbol=PAISALO#info-corporate
8,BHARATWIRE,930745,281.96,246.95,40.76,49.81,Yes,3.21,https://www.nseindia.com/get-quotes/equity?symbol=BHARATWIRE#info-corporate
9,NUVOCO,831000,298.98,320,72.02,-,Yes,2.37,https://www.nseindia.com/get-quotes/equity?symbol=NUVOCO#info-corporate
10,GATEWAY,589513,99,93.2,32.32,-,No,1.03,https://www.nseindia.com/get-quotes/equity?symbol=GATEWAY#info-corporate
11,RGL,491790,107.96,102.4,69.55,0,No,0.35,https://www.nseindia.com/get-quotes/equity?symbol=RGL#info-corporate
12,WELCORP,450000,542.79,494.95,50.14,0,Yes,7.21,https://www.nseindia.com/get-quotes/equity?symbol=WELCORP#info-corporate
13,MANINFRA,431230,189.74,183,67.31,0,Yes,1.79,https://www.nseindia.com/get-quotes/equity?symbol=MANINFRA#info-corporate
14,CHOICEIN,419000,266.47,344.5,58.21,11.45,Yes,-,https://www.nseindia.com/get-quotes/equity?symbol=CHOICEIN#info-corporate
15,CANTABIL,375000,216.3,199.5,73.28,-,No,2.22,https://www.nseindia.com/get-quotes/equity?symbol=CANTABIL#info-corporate
16,DBCORP,356190,295.9,268.25,71.93,0,Yes,6.88,https://www.nseindia.com/get-quotes/equity?symbol=DBCORP#info-corporate
17,STARCEMENT,349216,200.29,211.05,66.59,0.08,Yes,1.82,https://www.nseindia.com/get-quotes/equity?symbol=STARCEMENT#info-corporate
18,KRISHANA,315133,255.07,258.95,71.01,0,Yes,0.9,https://www.nseindia.com/get-quotes/equity?symbol=KRISHANA#info-corporate
19,ELIN,276900,138.75,153.35,33.41,-,Yes,0.51,https://www.nseindia.com/get-quotes/equity?symbol=ELIN#info-corporate
